"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_2596",0,0,7,0,10,0,0,10,0,6,11,0,0,0,0,0,0,9
"OTU_2597",0,0,6,7,10,0,0,4,0,0,0,9,0,10,10,0,0,0
"OTU_2601",0,0,0,10,0,17,7,0,0,8,4,0,0,0,0,7,0,0
"OTU_2603",0,0,0,0,20,0,0,0,0,0,0,17,0,0,11,0,8,0
"OTU_2613",4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,3,7
"OTU_2616",4,3,2,0,5,0,0,0,7,2,0,0,0,8,6,0,6,0
"OTU_2617",10,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,4,10
"OTU_261",56,62,69,62,24,0,69,0,47,0,78,91,0,67,64,42,84,78
"OTU_2618",0,5,0,0,0,0,0,0,0,8,0,0,0,5,8,0,12,0
"OTU_2620",5,0,0,0,7,0,0,5,7,0,5,0,0,0,0,0,4,4
"OTU_262",0,0,66,0,80,0,0,0,55,0,89,122,76,154,83,82,79,54
"OTU_2622",10,0,0,0,0,0,15,6,0,0,0,8,0,0,0,13,0,0
"OTU_2623",11,0,18,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0
"OTU_2624",0,8,0,14,0,0,0,14,0,0,0,0,0,0,18,0,0,0
"OTU_2627",0,8,0,9,0,0,0,10,0,0,0,0,0,14,10,0,0,0
"OTU_26",275,87,236,232,644,96,73,122,84,605,167,88,989,82,0,194,177,0
"OTU_2628",0,0,3,0,7,0,0,0,0,0,0,6,0,24,0,10,0,0
"OTU_2632",0,0,0,0,0,0,9,0,0,0,0,0,10,0,13,0,15,0
"OTU_2636",0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,26,0,10
"OTU_263",121,75,117,73,128,0,52,114,0,0,61,31,0,57,0,0,0,0
"OTU_2641",3,13,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2642",0,0,0,8,0,0,0,10,0,0,0,0,0,12,7,0,0,0
"OTU_264",69,23,32,59,43,0,59,56,0,29,134,59,34,63,43,96,16,45
"OTU_2651",0,0,0,0,11,0,15,0,0,0,9,7,0,3,0,0,0,0
"OTU_2654",0,0,0,0,0,0,4,9,0,3,9,0,8,0,5,6,0,3
"OTU_265",50,67,56,48,34,0,90,33,33,39,23,45,36,0,17,0,44,0
"OTU_266",44,99,84,51,53,0,48,0,99,52,0,0,47,0,0,76,45,57
"OTU_2668",3,0,0,7,5,0,0,0,0,0,4,2,4,5,8,0,0,0
"OTU_2669",0,18,7,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0
"OTU_2671",0,0,0,0,0,0,0,0,0,0,9,0,10,6,3,0,7,0
"OTU_2672",0,0,14,0,8,0,0,0,0,0,0,8,0,6,0,0,0,0
"OTU_2673",0,0,13,0,5,0,0,0,0,0,9,0,0,6,0,0,6,0
"OTU_2674",8,8,8,0,0,0,0,13,9,0,0,0,0,6,0,0,0,0
"OTU_2677",5,10,0,0,0,0,4,0,0,0,0,8,0,7,11,0,0,0
"OTU_2678",0,13,8,0,0,6,0,0,10,0,0,0,0,0,0,6,6,0
"OTU_267",80,0,90,62,78,55,0,71,0,0,55,40,54,42,37,79,46,34
"OTU_268",23,35,96,33,81,36,24,35,54,17,29,85,48,14,38,42,68,18
"OTU_2689",0,4,0,2,5,0,0,2,9,0,10,8,0,5,0,0,0,0
"OTU_2691",0,0,0,7,8,0,0,0,9,0,4,0,0,11,0,0,0,0
"OTU_2694",0,0,0,8,0,0,0,12,0,5,0,0,0,0,0,0,3,0
"OTU_2695",0,0,0,7,0,0,0,4,0,0,0,0,13,0,0,12,0,0
"OTU_269",43,68,66,49,0,0,0,0,79,36,78,69,72,46,0,67,88,68
"OTU_2698",7,0,0,14,5,0,0,0,0,0,0,0,4,8,0,0,12,0
"OTU_2704",0,0,8,0,0,0,0,0,0,0,0,0,0,14,13,0,0,12
"OTU_270",0,22,27,42,25,0,22,14,108,67,25,35,39,11,47,43,48,37
"OTU_271",19,34,30,32,31,0,40,58,33,39,24,39,28,44,55,40,26,26
"OTU_2720",11,0,6,10,0,0,1,11,0,0,3,0,0,0,0,0,0,0
"OTU_2723",13,0,15,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0
"OTU_272",46,22,15,34,38,188,34,65,0,29,29,0,305,10,8,4,44,27
"OTU_2729",4,6,0,0,0,0,0,7,0,0,12,0,0,13,0,0,0,6
"OTU_2730",0,5,7,10,0,0,0,0,4,5,0,5,0,2,8,0,0,0
"OTU_273",60,0,51,0,69,35,70,52,111,88,36,72,0,33,68,83,30,35
"OTU_2731",0,3,0,0,5,8,3,0,3,10,0,0,0,0,0,7,4,0
"OTU_2732",0,4,0,0,5,0,5,4,5,0,0,0,3,5,9,0,0,10
"OTU_2736",0,0,0,0,4,0,0,0,0,4,18,0,4,0,7,10,0,0
"OTU_27",144,462,141,299,217,285,99,309,102,998,136,53,165,0,92,0,494,74
"OTU_2740",0,0,0,0,0,0,0,9,0,0,10,14,12,0,0,0,0,5
"OTU_2748",0,0,14,7,0,0,0,0,5,0,0,9,0,0,0,0,0,0
"OTU_274",21,34,64,65,36,0,42,64,55,0,45,116,21,80,111,0,46,72
"OTU_2755",0,0,0,0,8,0,16,6,0,0,4,0,0,0,0,0,0,0
"OTU_275",22,0,64,54,11,0,32,28,29,115,39,13,13,6,50,18,72,56
"OTU_2758",0,0,0,0,11,0,0,0,0,0,0,0,7,8,0,0,0,13
"OTU_2759",7,5,12,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0
"OTU_2760",6,12,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,9
"OTU_2762",3,0,20,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_276",30,12,8,18,0,18,38,18,0,109,64,32,69,46,90,90,71,68
"OTU_2764",0,2,0,14,4,0,0,0,0,0,0,0,0,7,17,0,0,2
"OTU_2768",0,0,0,3,0,0,0,0,0,0,8,6,0,5,6,9,4,8
"OTU_2771",0,0,0,0,8,0,0,0,0,0,0,0,0,15,11,0,7,0
"OTU_277",42,59,31,22,54,0,34,40,42,42,54,57,50,0,39,40,30,43
"OTU_2783",0,0,0,2,0,27,0,6,0,0,0,0,0,0,0,2,0,0
"OTU_278",52,31,53,32,29,0,61,53,61,30,25,27,0,45,42,68,58,51
"OTU_2785",8,0,0,0,0,0,0,10,5,3,6,0,0,0,4,0,3,5
"OTU_2786",0,0,5,0,10,0,9,0,0,0,6,0,7,0,0,0,0,0
"OTU_2789",0,0,7,0,7,0,0,0,0,0,0,0,0,0,4,0,0,15
"OTU_2791",12,0,0,0,0,0,0,7,7,0,0,0,0,11,9,0,0,0
"OTU_2792",8,0,0,0,0,0,0,0,0,0,2,13,8,6,0,0,0,8
"OTU_2794",11,0,0,10,12,0,0,0,0,0,0,7,0,0,0,0,0,0
