"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_832",0,8,1,13,43,0,0,0,0,0,9,0,0,8,0,9,7,0
"OTU_836",17,48,26,32,11,28,0,7,0,0,12,17,0,18,0,0,0,0
"OTU_842",0,0,0,0,12,0,14,29,0,0,17,30,21,0,20,23,0,26
"OTU_849",16,27,20,15,18,0,11,0,10,8,3,9,8,0,0,15,0,0
"OTU_855",0,0,25,18,0,0,14,0,32,0,0,0,38,25,0,32,0,0
"OTU_862",28,29,23,25,53,10,0,0,0,0,17,0,0,13,22,0,0,0
"OTU_865",0,0,0,0,0,121,0,0,11,0,0,0,18,0,0,0,0,0
"OTU_867",0,53,29,0,20,0,13,0,24,0,0,0,0,0,15,0,16,0
"OTU_873",19,24,30,10,8,0,0,16,18,0,12,12,0,13,0,10,11,13
"OTU_879",0,0,0,0,7,0,26,0,6,38,0,0,8,0,0,0,32,5
"OTU_881",0,38,0,0,0,0,26,0,0,15,0,0,0,0,0,0,40,0
"OTU_891",27,71,18,0,32,0,0,0,0,0,33,0,0,36,0,0,0,0
"OTU_911",0,0,0,0,0,0,44,47,9,0,41,0,12,3,0,10,5,0
"OTU_914",0,31,0,13,24,0,0,0,0,0,0,27,0,23,19,0,11,22
"OTU_915",0,61,52,0,34,0,0,10,41,0,0,0,0,0,0,0,0,0
"OTU_923",0,0,0,34,23,0,11,7,0,0,8,17,24,0,7,35,12,0
"OTU_935",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"OTU_936",35,38,0,26,0,0,13,0,0,13,30,0,12,0,0,0,0,0
"OTU_937",0,45,14,3,6,0,59,0,17,0,0,0,0,2,0,8,10,0
"OTU_938",30,0,0,0,0,0,0,0,0,7,0,7,32,0,0,0,82,0
"OTU_947",1,0,0,0,0,0,8,26,6,0,28,12,8,19,30,8,5,19
"OTU_951",5,9,0,24,0,0,19,23,0,13,0,16,13,0,17,14,9,11
"OTU_957",0,0,0,0,0,0,9,46,0,7,21,25,9,8,0,0,21,0
"OTU_959",0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_963",0,0,16,33,0,0,0,0,59,3,9,0,0,0,0,0,0,0
