"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_456",0,17,0,17,8,0,12,7,0,24,10,0,0,12,9,0,0,0
"OTU_461",7,0,0,6,0,0,1,3,26,0,0,46,0,2,0,0,16,0
"OTU_46",1388,55,193,26,324,0,176,372,25,321,59,0,1118,81,28,451,0,21
"OTU_467",0,0,0,0,31,0,0,0,43,0,1,2,0,0,0,24,0,0
"OTU_47",0,122,0,14,1683,0,817,31,0,400,0,0,0,586,671,18,0,10
"OTU_472",0,0,0,0,0,16,0,0,9,0,0,47,0,0,0,0,37,0
"OTU_473",0,0,0,0,0,5,2,0,55,0,0,34,0,0,0,0,0,0
"OTU_483",10,0,105,2,0,0,0,5,4,0,0,0,0,0,0,0,0,0
"OTU_488",0,0,0,0,39,0,0,0,18,10,0,9,0,3,0,0,0,0
"OTU_49",0,0,0,0,168,0,2527,0,38,74,18,0,0,0,0,31,1323,0
"OTU_501",2,0,0,9,2,0,0,0,28,7,0,13,7,16,7,0,9,0
"OTU_506",0,0,0,0,0,0,0,0,10,0,0,16,0,22,0,0,43,0
"OTU_50",512,149,357,46,38,0,603,424,0,84,234,27,977,337,172,383,23,0
"OTU_508",0,2,0,0,0,0,0,0,13,0,18,67,0,0,0,0,0,0
"OTU_51",0,312,0,0,887,0,570,0,0,1819,0,0,274,0,336,0,0,0
"OTU_516",0,9,0,0,0,0,0,0,16,0,0,45,0,0,0,0,20,0
"OTU_522",0,0,0,0,0,0,3,0,0,11,31,0,0,0,0,0,52,0
"OTU_524",0,0,0,23,0,18,0,0,0,0,0,23,26,0,0,0,0,0
"OTU_52",1,3,363,0,0,0,278,6,0,395,4,14,858,1976,112,4,2,5
"OTU_525",0,0,0,0,0,0,0,0,5,0,0,37,0,0,0,36,22,0
"OTU_53",993,164,47,1233,1155,0,10,121,0,0,0,1,18,10,0,0,85,9
"OTU_535",0,0,0,0,0,0,10,0,24,0,0,48,3,0,0,0,6,0
"OTU_538",0,0,0,0,0,0,2,0,0,0,5,74,0,0,0,4,0,0
"OTU_54",0,189,4123,0,278,0,0,0,0,0,60,0,0,0,112,0,0,0
"OTU_5",2803,574,277,511,324,948,276,64,4705,3035,1280,14569,571,1192,119,708,9161,60
"OTU_546",2,0,0,0,26,0,7,0,0,0,0,0,0,0,0,0,36,0
"OTU_55",34,3160,0,28,27,0,48,0,0,38,18,2,0,0,21,0,0,23
"OTU_560",0,0,0,0,13,0,0,6,0,0,0,0,0,12,49,0,0,0
"OTU_56",0,46,33,2443,0,0,248,435,0,12,0,0,0,95,0,0,0,0
"OTU_568",0,18,0,0,23,0,2,3,0,8,6,0,0,0,9,4,0,3
"OTU_574",0,0,0,2,0,16,0,0,12,0,0,28,0,0,0,0,8,0
